county,fips_county,dcedregion,Lat,Long_,year,month,JH_cases,Labor_Force,Employed,Unemployed,Unemployment_Rate
Lawrence,42073,5: SW Pa.,40.99206278,-80.33393706,2020,Oct,416,"39,400","36,400","3,000",7.60%
Lebanon,42075,3: SC Pa.,40.36680311,-76.45651841,2020,Oct,"1,115","72,100","67,900","4,200",5.90%
Lehigh,42077,2: NE Pa.,40.6154815,-75.59435245,2020,Oct,"1,123","190,000","175,900","14,100",7.40%
Luzerne,42079,2: NE Pa.,41.17823008,-75.98447579,2020,Oct,"1,410","150,900","137,900","13,100",8.70%
Lycoming,42081,4: Cent Pa.,41.34310539,-77.06629984,2020,Oct,286,"52,400","48,700","3,700",7.00%
McKean,42083,6: NW Pa.,41.80938602,-78.56478358,2020,Oct,99,"16,800","15,700","1,100",6.60%
Mercer,42085,6: NW Pa.,41.30248872,-80.25816981,2020,Oct,393,"46,200","42,600","3,600",7.70%
Mifflin,42087,4: Cent Pa.,40.61116939,-77.61070738,2020,Oct,207,"20,800","19,500","1,300",6.00%
Monroe,42089,2: NE Pa.,41.05934058,-75.34031025,2020,Oct,265,"78,100","71,300","6,800",8.70%
Montgomery,42091,1: SE Pa.,40.21053671,-75.36652296,2020,Oct,"2,016","440,000","413,700","26,200",6.00%
Montour,42093,4: Cent Pa.,41.03023987,-76.66345939,2020,Oct,124,"9,200","8,800",400,4.50%
Northampton,42095,2: NE Pa.,40.75182733,-75.30471829,2020,Oct,"1,045","157,600","147,300","10,300",6.60%
Northumberland,42097,4: Cent Pa.,40.84785433,-76.70798222,2020,Oct,518,"41,800","39,000","2,800",6.80%
Perry,42099,3: SC Pa.,40.40206612,-77.26297447,2020,Oct,144,"24,400","23,300","1,100",4.60%
Philadelphia,42101,1: SE Pa.,40.00338507,-75.1379271,2020,Oct,"7,279","725,500","646,900","78,600",10.80%
Pike,42103,2: NE Pa.,41.33155042,-75.03208106,2020,Oct,53,"24,100","22,200","1,900",8.00%
Potter,42105,6: NW Pa.,41.74471626,-77.89559864,2020,Oct,31,"7,100","6,600",500,6.60%
Schuylkill,42107,2: NE Pa.,40.70497338,-76.2150785,2020,Oct,964,"65,900","61,300","4,600",6.90%
Snyder,42109,4: Cent Pa.,40.77129231,-77.06840691,2020,Oct,163,"19,800","18,900",900,4.50%
Somerset,42111,4: Cent Pa.,39.97172723,-79.02699593,2020,Oct,241,"32,600","30,500","2,100",6.40%
Sullivan,42113,2: NE Pa.,41.44634738,-76.51246591,2020,Oct,7,"2,600","2,400",200,6.40%
Susquehanna,42115,2: NE Pa.,41.82147784,-75.80071959,2020,Oct,119,"19,600","18,600","1,100",5.40%
Tioga,42117,2: NE Pa.,41.77255149,-77.25433032,2020,Oct,163,"18,900","17,700","1,200",6.40%
Union,42119,4: Cent Pa.,40.96188846,-77.05996014,2020,Oct,254,"19,400","18,500",900,4.60%
Venango,42121,6: NW Pa.,41.40323442,-79.75845449,2020,Oct,200,"22,100","20,600","1,500",6.80%
Warren,42123,6: NW Pa.,41.81304978,-79.26969577,2020,Oct,27,"18,700","17,600","1,100",6.10%
Washington,42125,5: SW Pa.,40.19208869,-80.24582867,2020,Oct,761,"104,200","96,800","7,400",7.10%
